,0
2024-05-16,2.363
2024-05-17,2.362
2024-05-20,2.362
2024-05-21,2.361
2024-05-22,2.361
2024-05-23,2.361
2024-05-24,2.361
2024-05-28,2.361
2024-05-29,2.36
2024-05-30,2.357
2024-05-31,2.353
2024-06-03,2.349
2024-06-04,2.343
2024-06-05,2.339
2024-06-06,2.335
2024-06-07,2.331
2024-06-10,2.326
2024-06-11,2.322
2024-06-12,2.315
2024-06-13,2.308
2024-06-14,2.301
2024-06-17,2.294
2024-06-18,2.286
2024-06-20,2.278
2024-06-21,2.272
2024-06-24,2.267
2024-06-25,2.262
2024-06-26,2.257
2024-06-27,2.25
2024-06-28,2.244
2024-07-01,2.238
2024-07-02,2.232
2024-07-03,2.225
2024-07-05,2.218
2024-07-08,2.21
2024-07-09,2.202
2024-07-10,2.195
2024-07-11,2.187
2024-07-12,2.18
2024-07-15,2.172
2024-07-16,2.163
2024-07-17,2.154
2024-07-18,2.146
2024-07-19,2.139
2024-07-22,2.132
2024-07-23,2.126
2024-07-24,2.12
2024-07-25,2.114
2024-07-26,2.108
2024-07-29,2.103
2024-07-30,2.098
2024-07-31,2.093
2024-08-01,2.088
2024-08-02,2.082
2024-08-05,2.076
2024-08-06,2.071
2024-08-07,2.067
2024-08-08,2.061
2024-08-09,2.056
2024-08-12,2.051
2024-08-13,2.046
2024-08-14,2.04
2024-08-15,2.035
2024-08-16,2.03
2024-08-19,2.023
2024-08-20,2.018
2024-08-21,2.012
2024-08-22,2.006
2024-08-23,2.0
2024-08-26,1.994
2024-08-27,1.989
2024-08-28,1.983
2024-08-29,1.978
2024-08-30,1.973
2024-09-03,1.968
2024-09-04,1.963
2024-09-05,1.958
2024-09-06,1.953
2024-09-09,1.949
2024-09-10,1.946
2024-09-11,1.943
2024-09-12,1.94
2024-09-13,1.937
2024-09-16,1.935
2024-09-17,1.933
2024-09-18,1.931
2024-09-19,1.928
2024-09-20,1.925
2024-09-23,1.922
2024-09-24,1.919
2024-09-25,1.915
2024-09-26,1.912
2024-09-27,1.909
2024-09-30,1.906
2024-10-01,1.902
2024-10-02,1.899
2024-10-03,1.896
2024-10-04,1.893
2024-10-07,1.89
2024-10-08,1.888
2024-10-09,1.886
2024-10-10,1.884
2024-10-11,1.882
2024-10-14,1.88
2024-10-15,1.878
2024-10-16,1.874
2024-10-17,1.871
2024-10-18,1.868
2024-10-21,1.866
2024-10-22,1.863
2024-10-23,1.86
2024-10-24,1.859
2024-10-25,1.858
2024-10-28,1.857
2024-10-29,1.857
2024-10-30,1.856
2024-10-31,1.856
2024-11-01,1.854
2024-11-04,1.853
2024-11-05,1.853
2024-11-06,1.853
2024-11-07,1.853
2024-11-08,1.853
2024-11-11,1.852
2024-11-12,1.852
2024-11-13,1.853
2024-11-14,1.853
2024-11-15,1.853
2024-11-18,1.853
2024-11-19,1.853
2024-11-20,1.853
2024-11-21,1.853
2024-11-22,1.852
2024-11-25,1.853
2024-11-26,1.852
2024-11-27,1.852
2024-11-29,1.851
2024-12-02,1.85
2024-12-03,1.849
2024-12-04,1.848
2024-12-05,1.847
2024-12-06,1.845
2024-12-09,1.844
2024-12-10,1.842
2024-12-11,1.839
2024-12-12,1.836
2024-12-13,1.834
2024-12-16,1.832
2024-12-17,1.829
2024-12-18,1.828
2024-12-19,1.825
2024-12-20,1.822
2024-12-23,1.819
2024-12-24,1.816
2024-12-26,1.813
2024-12-27,1.809
2024-12-30,1.806
2024-12-31,1.804
2025-01-02,1.801
2025-01-03,1.799
2025-01-06,1.797
2025-01-07,1.796
2025-01-08,1.795
2025-01-10,1.793
2025-01-13,1.793
2025-01-14,1.793
2025-01-15,1.793
2025-01-16,1.792
2025-01-17,1.794
2025-01-21,1.795
2025-01-22,1.797
2025-01-23,1.799
2025-01-24,1.802
2025-01-27,1.803
2025-01-28,1.804
2025-01-29,1.805
2025-01-30,1.804
2025-01-31,1.803
2025-02-03,1.802
2025-02-04,1.801
2025-02-05,1.8
2025-02-06,1.799
2025-02-07,1.798
2025-02-10,1.797
2025-02-11,1.796
2025-02-12,1.794
2025-02-13,1.792
2025-02-14,1.789
2025-02-18,1.786
2025-02-19,1.783
2025-02-20,1.781
2025-02-21,1.779
2025-02-24,1.777
2025-02-25,1.774
2025-02-26,1.771
2025-02-27,1.768
2025-02-28,1.766
2025-03-03,1.764
2025-03-04,1.761
2025-03-05,1.759
2025-03-06,1.757
2025-03-07,1.755
2025-03-10,1.752
2025-03-11,1.75
2025-03-12,1.749
2025-03-13,1.748
2025-03-14,1.747
2025-03-17,1.747
2025-03-18,1.747
2025-03-19,1.746
2025-03-20,1.747
2025-03-21,1.748
2025-03-24,1.75
2025-03-25,1.75
2025-03-26,1.752
2025-03-27,1.753
2025-03-28,1.755
2025-03-31,1.756
2025-04-01,1.756
2025-04-02,1.756
2025-04-03,1.756
2025-04-04,1.757
2025-04-07,1.759
2025-04-08,1.761
2025-04-09,1.763
2025-04-10,1.766
2025-04-11,1.768
2025-04-14,1.77
2025-04-15,1.77
2025-04-16,1.77
